sample id,region id,cell id,movie id,global_start_frame,path
20250722-2,0,0,0,0,20250722-2/000000-0.npy
20250722-2,0,0,1,20,20250722-2/000000-1.npy
20250722-2,0,0,2,40,20250722-2/000000-2.npy
20250722-2,0,1,0,0,20250722-2/000001-0.npy
20250722-2,0,1,1,20,20250722-2/000001-1.npy
20250722-2,0,1,2,40,20250722-2/000001-2.npy
20250722-2,0,2,0,0,20250722-2/000002-0.npy
20250722-2,0,2,1,20,20250722-2/000002-1.npy
20250722-2,0,2,2,40,20250722-2/000002-2.npy
20250722-2,0,3,0,0,20250722-2/000003-0.npy
20250722-2,0,3,1,20,20250722-2/000003-1.npy
20250722-2,0,3,2,40,20250722-2/000003-2.npy
20250722-2,0,4,0,0,20250722-2/000004-0.npy
20250722-2,0,4,1,20,20250722-2/000004-1.npy
20250722-2,0,4,2,40,20250722-2/000004-2.npy
20250722-2,0,5,0,0,20250722-2/000005-0.npy
20250722-2,0,5,1,20,20250722-2/000005-1.npy
20250722-2,0,5,2,40,20250722-2/000005-2.npy
20250722-2,0,6,0,0,20250722-2/000006-0.npy
20250722-2,0,6,1,20,20250722-2/000006-1.npy
20250722-2,0,6,2,40,20250722-2/000006-2.npy
20250722-2,0,7,0,0,20250722-2/000007-0.npy
20250722-2,0,7,1,20,20250722-2/000007-1.npy
20250722-2,0,7,2,40,20250722-2/000007-2.npy
20250722-2,0,8,0,0,20250722-2/000008-0.npy
20250722-2,0,8,1,20,20250722-2/000008-1.npy
20250722-2,0,8,2,40,20250722-2/000008-2.npy
20250722-2,0,9,0,0,20250722-2/000009-0.npy
20250722-2,0,9,1,20,20250722-2/000009-1.npy
20250722-2,0,9,2,40,20250722-2/000009-2.npy
20250722-2,0,10,0,0,20250722-2/000010-0.npy
20250722-2,0,10,1,20,20250722-2/000010-1.npy
20250722-2,0,10,2,40,20250722-2/000010-2.npy
20250722-2,0,11,0,0,20250722-2/000011-0.npy
20250722-2,0,11,1,20,20250722-2/000011-1.npy
20250722-2,0,11,2,40,20250722-2/000011-2.npy
20250722-2,0,12,0,0,20250722-2/000012-0.npy
20250722-2,0,12,1,20,20250722-2/000012-1.npy
20250722-2,0,12,2,40,20250722-2/000012-2.npy
20250722-2,0,13,0,0,20250722-2/000013-0.npy
20250722-2,0,13,1,20,20250722-2/000013-1.npy
20250722-2,0,13,2,40,20250722-2/000013-2.npy
20250722-2,0,14,0,0,20250722-2/000014-0.npy
20250722-2,0,14,1,20,20250722-2/000014-1.npy
20250722-2,0,14,2,40,20250722-2/000014-2.npy
20250722-2,0,15,0,0,20250722-2/000015-0.npy
