Data Path,Region ID,Cell ID Start
20250722-2,0,79
20250722-2,1,157
20250722-2,2,241
20250722-2,3,304
20250722-2,4,386
20250722-2,5,464
20250724-1,0,75
20250724-1,1,142
20250724-1,2,215
20250724-1,3,289
20250724-1,4,356
20250724-1,5,423
20250724-1,6,491
20250724-1,7,559
20250724-2,0,70
20250724-2,1,146
20250724-2,2,217
20250724-2,3,292
20250724-2,4,367
20250724-2,5,435
20250724-2,6,509
20250725-1,0,55
20250725-1,1,126
20250725-1,2,188
20250725-1,3,250
20250725-1,4,311
20250725-1,5,383
20250725-1,6,456
20250725-1,7,534
20250728-1,0,71
20250728-1,1,146
20250728-1,2,237
20250728-1,3,317
20250728-1,4,407
20250728-1,5,500
20250804-1,0,52
20250804-1,1,105
20250804-1,2,148
20250804-1,3,200
20250804-1,4,255
20250804-1,5,302
20250804-1,6,365
20250804-1,7,420
20250804-2,0,72
20250804-2,1,145
20250804-2,2,215
20250804-2,3,271
20250804-2,4,332
20250804-2,5,394
20250804-2,6,454
20250804-2,7,510
20250805-1,0,52
20250805-1,1,95
20250805-1,2,142
20250805-1,3,184
20250805-1,4,238
20250805-1,5,291
20250805-1,6,342
20250805-1,7,378
20250805-2,0,58
20250805-2,1,116
20250805-2,2,162
20250805-2,3,218
20250805-2,4,272
20250805-2,5,317
20250805-2,6,359
20250805-2,7,410
20250806-1,0,49
20250806-1,1,104
20250806-1,2,155
20250806-1,3,208
20250806-1,4,269
20250806-1,5,326
20250806-1,6,383
20250806-1,7,437
20250806-2,0,51
20250806-2,1,96
20250806-2,2,146
20250806-2,3,182
20250806-2,4,223
20250806-2,5,268
20250806-2,6,318
20250806-2,7,360
20250807-1,0,57
20250807-1,1,113
20250807-1,2,164
20250807-1,3,207
20250807-1,4,258
20250807-1,5,312
20250807-1,6,361
20250807-1,7,415
20250807-2,0,63
20250807-2,1,122
20250807-2,2,167
20250807-2,3,235
20250807-2,4,290
20250807-2,5,335
20250807-2,6,382
20250807-2,7,418
20250813-1,0,42
20250813-1,1,86
20250813-1,2,135
20250813-1,3,182
20250813-1,4,236
20250813-1,5,280
20250813-1,6,319
20250813-1,7,362
20250813-2,0,44
20250813-2,1,83
20250813-2,2,140
20250813-2,3,204
20250813-2,4,253
20250813-2,5,302
20250813-2,6,348
20250813-2,7,397
20250814-1,0,50
20250814-1,1,107
20250814-1,2,169
20250814-1,3,222
20250814-1,4,273
20250814-1,5,327
20250814-1,6,375
20250814-1,7,438
20250814-2,0,42
20250814-2,1,102
20250814-2,2,153
20250814-2,3,219
20250814-2,4,273
20250814-2,5,336
20250814-2,6,394
20250814-2,7,444
20250826-2,0,84
20250826-2,1,161
20250826-2,2,226
20250826-2,3,312
20250826-2,4,393
20250826-2,5,467
20250827-1,0,48
20250827-1,1,95
20250827-1,2,128
20250827-1,3,167
20250827-1,4,208
20250827-1,5,252
20250827-1,6,301
20250827-1,7,347
20250827-2,0,48
20250827-2,1,105
20250827-2,2,151
20250827-2,3,198
20250827-2,4,247
20250827-2,5,287
20250827-2,6,329
20250829-1,0,63
20250829-1,1,109
20250829-1,2,173
20250829-1,3,228
20250829-1,4,290
20250829-1,5,338
20250829-1,6,374
20250829-1,7,421
20250829-2,0,63
20250829-2,1,111
20250829-2,2,162
20250829-2,3,228
20250829-2,4,284
20250829-2,5,364
20250829-2,6,421
20250829-2,7,488
20250902-1,0,85
20250902-1,1,195
20250902-1,2,297
20250902-1,3,402
20250902-1,4,502
20250902-2,0,104
20250902-2,1,224
20250902-2,2,327
20250902-2,3,412
20250902-2,4,485
20250904-1,0,50
20250904-1,1,95
20250904-1,2,152
20250904-1,3,205
20250904-1,4,258
20250904-1,5,308
20250904-1,6,355
20250904-1,7,396
20250904-2,0,66
20250904-2,1,127
20250904-2,2,160
20250904-2,3,212
20250904-2,4,267
20250904-2,5,314
20250904-2,6,366
20250904-2,7,434
